id,t1_lineup,t2_lineup,t1_score,t2_score,date,map,tourney
89677,11654-12732-12733-13157-8726,12731-14273-7716-9081-9083,19,16,2019-07-26 14:00,Overpass,4447
97941,10994-7964-8611-922-9896,11276-15726-17504-19114-9568,16,3,2020-01-19 11:00,Overpass,5161
89450,10671-11219-8507-8523-9136,10560-10566-5736-9218-9483,16,3,2019-07-20 10:25,Mirage,4446
91380,11815-12708-14007-17147-18120,10330-14148-14419-7415-9612,5,16,2019-09-12 20:35,Train,4822
88190,10394-7687-8520-8738-8797,10774-7028-7131-8552-8605,16,7,2019-06-19 10:00,Overpass,4490
96172,10588-4679-8082-8248-9686,11110-13666-3055-3849-7528,5,16,2019-12-05 14:30,Mirage,4697
85533,11654-12732-12733-13157-8726,11652-15204-2553-7356-9574,16,7,2019-05-08 13:00,Mirage,4501
77989,11654-12732-12733-13157-8726,12244-14171-15299-15642-16563,16,13,2018-11-20 18:50,Nuke,4254
94431,18053-3741-8183-885-9216,10394-7687-8520-8738-8797,5,16,2019-11-02 15:45,Inferno,4702
82569,29-39-9255-9261-9278,11654-12732-12733-13157-8726,16,10,2019-03-11 19:00,Dust2,4412
86396,10394-7687-8520-8738-8797,11264-12101-7253-7808-9056,16,11,2019-05-23 17:15,Dust2,4566
94436,18053-3741-8183-885-9216,14218-29-7443-9261-9278,16,12,2019-11-02 18:00,Dust2,4702
82230,11654-12732-12733-13157-8726,10784-13670-14218-44-9257,16,10,2019-03-05 20:20,Overpass,4423
77862,2007-8764-8767-8771-9102,10588-4679-8082-8248-9686,4,16,2018-11-18 02:00,Cache,4141
77079,12048-12049-15407-7408-921,11654-12732-12733-13157-8726,12,16,2018-11-07 18:30,Mirage,4172
81545,11654-12732-12733-13157-8726,12379-13018-5351-7296-8983,16,6,2019-02-17 13:05,Inferno,4429
93075,13396-7821-8576-9271-9819,1045-11777-1378-6904-7218,10,16,2019-10-07 10:30,Dust2,4862
92794,12521-12553-12822-15631-8565,11916-4076-5479-695-7248,16,9,2019-10-02 13:30,Train,4553
93448,11654-12732-12733-13157-8726,11842-11940-15117-16612-16947,9,16,2019-10-15 16:00,Mirage,4492
81365,10588-4679-8082-8248-9686,10052-11942-12161-13239-13776,16,8,2019-02-13 12:35,Train,3884
91017,10671-11219-8507-8523-9136,11840-484-7594-7998-8918,19,17,2019-09-06 13:15,Mirage,4443
93173,13396-7821-8576-9271-9819,10590-13779-14205-15662-16946,16,13,2019-10-10 10:30,Nuke,4862
94380,11840-2757-7594-7998-8918,18053-3741-8183-885-9216,9,16,2019-11-01 20:00,Nuke,4702
86129,11816-2730-429-8574-9960,10697-11343-12126-2799-7834,16,6,2019-05-18 13:55,Nuke,4309
90653,11716-11942-13239-13776-334,10449-13679-339-3997-798,16,8,2019-08-24 12:15,Dust2,4450
92787,8095-8394-8783-8875-9031,10394-7687-8520-8738-8797,6,16,2019-10-02 10:00,Dust2,4553
91518,2023-5736-8564-8566-9217,11716-11942-13239-13776-334,9,16,2019-09-14 12:05,Mirage,4686
99273,11498-13780-13915-7403-7796,12781-5794-5796-7266-7938,16,13,2020-02-24 15:05,Mirage,5150
